Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,42.5,-490996.0625,20371.07031,-14025.50488,20315.76953,-34911.58594
,,,,,,42.75,-490840.4063,19734.55469,-13511.26172,19675.26172,-34664.21094
,,,,,,43,-490620.7813,19183.03906,-13090.01758,19103.75,-34473.33984
,,,,,,43.25,-490369.1563,18701.52344,-12713.77344,18609.24023,-34302.96875
,,,,,,43.5,-490165.5,18243.00781,-12345.53027,18142.73047,-34153.59375
,,,,,,43.75,-489977.875,17831.49023,-11976.28613,17724.21875,-34057.72266
,,,,,,44,-489726.25,17526.97461,-11585.04199,17434.71094,-34044.35156
,,,,,,44.25,-489442.625,17342.45898,-11156.79883,17278.19922,-34117.97656
,,,,,,44.5,-489191,17225.94336,-10733.55469,17171.69141,-34275.60547
,,,,,,44.75,-489003.3438,17082.42773,-10360.31152,17024.17969,-34485.23047
,,,,,,45,-488895.7188,16864.91211,-10036.06738,16792.66992,-34678.35938
,,,,,,45.25,-488852.0938,16651.39453,-9760.823242,16553.16016,-34855.48438
,,,,,,45.5,-488808.4375,16564.87891,-9569.580078,16446.65039,-35096.61328
,,,,,,45.75,-488732.8125,16609.36328,-9484.335938,16502.14063,-35406.24219
,,,,,,46,-488689.1875,16671.84766,-9477.091797,16611.62891,-35713.86719
,,,,,,46.25,-488693.5625,16705.33203,-9470.848633,16699.12109,-35996.99609
,,,,,,46.5,-488601.9375,16759.81641,-9404.604492,16761.60938,-36255.62109
,,,,,,46.75,-488382.2813,16827.30078,-9293.360352,16798.09961,-36458.75
,,,,,,47,-488098.6563,16859.78516,-9165.117188,16791.58984,-36574.875
,,,,,,47.25,-487815.0313,16863.26953,-9017.873047,16771.08008,-36594.50391
,,,,,,47.5,-487563.375,16865.75391,-8867.628906,16792.57031,-36571.63281
,,,,,,47.75,-487327.75,16887.23828,-8749.384766,16848.05859,-36574.25781
,,,,,,48,-487092.125,16935.72266,-8654.141602,16902.55078,-36568.88672
,,,,,,48.25,-486744.5,17019.20703,-8537.898438,16979.03906,-36482.01563
,,,,,,48.5,-486204.875,17158.69141,-8425.654297,17120.5293,-36322.64063
,,,,,,48.75,-485489.2188,17333.17578,-8372.410156,17295.01953,-36131.76563
,,,,,,49,-484709.5938,17442.66016,-8360.166016,17401.50977,-35885.89453
,,,,,,49.25,-483961.9688,17442.14258,-8354.921875,17413,-35546.02344
,,,,,,49.5,-483230.3125,17394.62695,-8374.678711,17384.48828,-35115.64844
,,,,,,49.75,-482578.6875,17349.11133,-8442.435547,17341.98047,-34649.77734
,,,,,,50,-482007.0625,17299.5957,-8523.191406,17273.46875,-34232.40625
,,,,,,50.25,-481499.4375,17186.08008,-8514.947266,17136.96094,-33876.53125
,,,,,,50.5,-480959.8125,17013.5625,-8406.703125,16956.44922,-33521.65625
,,,,,,50.75,-480292.1563,16901.04688,-8333.458984,16851.93945,-33159.78516
,,,,,,51,-479576.5313,16882.53125,-8365.21582,16846.42969,-32830.41406
,,,,,,51.25,-478876.9063,16865.01563,-8428.972656,16844.91992,-32542.53906
,,,,,,51.5,-478289.25,16808.5,-8471.728516,16802.41016,-32289.66797
,,,,,,51.75,-477813.625,16722.98438,-8519.484375,16730.89844,-32086.79492
,,,,,,52,-477418,16596.46875,-8603.240234,16616.39063,-31936.42188
,,,,,,52.25,-477118.375,16428.95313,-8690.99707,16432.87891,-31774.05078
,,,,,,52.5,-476882.7188,16240.4375,-8755.75293,16200.36914,-31562.67578
,,,,,,52.75,-476711.0938,16019.92188,-8829.509766,15958.85938,-31375.30469
,,,,,,53,-476619.4688,15743.40527,-8908.265625,15715.34961,-31279.43164
,,,,,,53.25,-476591.8438,15437.88965,-8962.021484,15460.83887,-31264.05859
,,,,,,53.5,-476548.1875,15174.37402,-9013.777344,15214.3291,-31295.68555
